응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,레저시간사용목적1순위값,레저시간사용목적2순위값,평일일평균레저시간값,주말일평균레저시간값,레저시간휴식오락사용비율,레저시간취미사용비율,레저시간본인계발사용비율,레저시간대인관계교제사용비율,레저시간기타사용비율,관심레저활동1순위값,관심레저활동2순위값,관심레저활동3순위값,관심레저활동4순위값,관심레저활동5순위값
236099,20240424,M,20대,서울특별시,700만원 이상,스트레스 해소를 위해,남는 시간을 보내기 위해,2,10,50,20,5,25,0,게임,볼링_ 당구-포켓볼 직접 하기,구기스포츠 직접 하기,친구-이성친구 만남,낮잠자기
289713,20240424,M,20대,대전광역시,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,2,10,10,60,10,20,0,헬스-보디빌딩 직접 하기,걷기-속보-조깅 직접 하기,독서,게임,친구-이성친구 만남
306059,20240424,M,20대,세종특별자치시,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,3,7,50,30,20,0,0,산책-걷기,없음,없음,없음,없음
332896,20240424,F,30대,서울특별시,300만원 미만,자기 계발을 위해,건강 관리를 위해,3,10,10,40,30,20,0,헬스-보디빌딩 직접 하기,어학-기술-자격증 취득,영상 컨텐츠 시청,등산 직접 하기,친구-이성친구 만남
335203,20240424,M,20대,부산광역시,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,4,10,40,15,30,15,0,독서,등산 직접 하기,없음,없음,없음
343457,20240424,M,40대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,1,2,50,30,0,20,0,맛집-카페 탐방,라켓스포츠 직접 하기,국내 여행,축제 참가,기타 문화예술관람
347539,20240424,M,20대,경기도,300만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,15,50,20,10,20,0,게임,SNS -인터넷 커뮤니티 활동,맛집-카페 탐방,헬스-보디빌딩 직접 하기,미술관-전시관 관람
368740,20240424,M,20대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,6,12,50,0,0,50,0,게임,헬스-보디빌딩 직접 하기,친구-이성친구 만남,만화책 보기,e스포츠 영상 시청
379871,20240424,M,20대,전라남도,300만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,3,8,20,20,10,50,0,수다-잡담하기,사진 촬영,국내 여행,드라이브,가족-친지 만남
387817,20240424,F,20대,경기도,무응답,마음의 안정-휴식을 위해,건강 관리를 위해,4,8,50,50,0,0,0,SNS -인터넷 커뮤니티 활동,무도-격투기 직접 하기,영화관 관람,음악 직접 활동 및 수강하기,미술관-전시관 관람
392528,20240424,F,30대,서울특별시,300만원 미만,남는 시간을 보내기 위해,자기만족-즐거움을 위해,1,1,20,20,20,40,0,춤-무용 직접 활동 및 수강하기,없음,없음,없음,없음
410595,20240424,M,20대,경상남도,300만원 미만,대인 관계-교제를 위해,자기 계발을 위해,5,8,5,5,80,10,0,인테리어,어학-기술-자격증 취득,수다-잡담하기,친구-이성친구 만남,음악 공연 관람
411711,20240424,M,20대,광주광역시,300이상500만원 미만,건강 관리를 위해,남는 시간을 보내기 위해,2,1,15,25,35,25,0,격투 스포츠 영상 시청,보드게임-퍼즐-바둑-장기-체스 등,없음,없음,없음
412680,20240424,F,30대,경기도,300이상500만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,8,12,100,0,0,0,0,낮잠자기,사진 촬영,없음,없음,없음
421014,20240424,M,40대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,2,6,70,20,0,10,0,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
421494,20240424,M,20대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,6,50,0,0,50,0,영상 컨텐츠 시청,만화책 보기,산책-걷기,해외여행,없음
422188,20240424,M,20대,울산광역시,300만원 미만,스트레스 해소를 위해,남는 시간을 보내기 위해,10,15,80,0,0,20,0,갬블,게임,낮잠자기,없음,없음
422723,20240424,M,20대,대구광역시,300만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,6,0,60,0,0,40,0,음악 직접 활동 및 수강하기,없음,없음,없음,없음
424076,20240424,M,20대,경기도,300이상500만원 미만,대인 관계-교제를 위해,남는 시간을 보내기 위해,2,5,20,20,20,40,0,친구-이성친구 만남,수다-잡담하기,없음,없음,없음
424656,20240424,M,20대,부산광역시,500이상700만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,3,7,40,30,10,20,0,SNS -인터넷 커뮤니티 활동,영상 컨텐츠 시청,라켓스포츠 직접 하기,국내 프로스포츠 영상 시청,드라이브
426032,20240424,M,20대,강원도,300만원 미만,자기만족-즐거움을 위해,자기 계발을 위해,3,8,20,20,20,40,0,어학-기술-자격증 취득,헬스-보디빌딩 직접 하기,독서,산책-걷기,음악-라디오 감상
429389,20240424,M,20대,경기도,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,7,20,30,20,30,0,국내 여행,국내 프로스포츠 현장 관람,볼링_ 당구-포켓볼 직접 하기,없음,없음
435613,20240424,M,20대,제주특별자치도,700만원 이상,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,5,8,30,40,0,30,0,영상 컨텐츠 시청,게임,구기스포츠 직접 하기,친구-이성친구 만남,e스포츠 영상 시청
439207,20240424,F,30대,경기도,300만원 미만,남는 시간을 보내기 위해,마음의 안정-휴식을 위해,2,10,90,0,2,8,0,영상 컨텐츠 시청,낮잠자기,수다-잡담하기,없음,없음
451730,20240424,M,20대,제주특별자치도,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,12,50,20,0,30,0,낮잠자기,드라이브,만화책 보기,음악-라디오 감상,친구-이성친구 만남
451783,20240424,F,20대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,스트레스 해소를 위해,5,9,40,10,0,50,0,수다-잡담하기,맛집-카페 탐방,SNS -인터넷 커뮤니티 활동,산책-걷기,없음
451833,20240424,M,20대,서울특별시,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,5,16,70,15,10,5,0,쇼핑,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,게임,산책-걷기
452906,20240424,M,20대,인천광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,자기 계발을 위해,3,10,20,20,10,50,0,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,없음,없음,없음
455632,20240424,F,30대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,2,3,50,20,10,20,0,산책-걷기,없음,없음,없음,없음
458325,20240424,M,30대,인천광역시,300만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,7,14,30,20,0,50,0,국내 프로스포츠 현장 관람,게임,걷기-속보-조깅 직접 하기,낮잠자기,산책-걷기
458700,20240424,M,20대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,3,5,60,20,10,10,0,박물관 관람,산책-걷기,없음,없음,없음
460112,20240424,M,20대,경기도,700만원 이상,대인 관계-교제를 위해,건강 관리를 위해,5,10,30,30,10,30,0,국내 여행,영화관 관람,해외 프로스포츠 영상 시청,만화책 보기,게임
464744,20240424,M,20대,서울특별시,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,4,8,5,5,35,55,0,어학-기술-자격증 취득,e스포츠 영상 시청,없음,없음,없음
465701,20240424,M,20대,강원도,300이상500만원 미만,스트레스 해소를 위해,마음의 안정-휴식을 위해,2,2,30,30,30,10,0,무용 공연 관람,익스트림스포츠 직접하기,없음,없음,없음
467471,20240424,M,20대,부산광역시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,6,6,50,50,0,0,0,게임,만화책 보기,음악-라디오 감상,없음,없음
469561,20240424,M,20대,인천광역시,300만원 미만,스트레스 해소를 위해,자기 계발을 위해,5,14,50,20,0,30,0,구기스포츠 직접 하기,SNS -인터넷 커뮤니티 활동,없음,없음,없음
473330,20240424,M,20대,부산광역시,500이상700만원 미만,대인 관계-교제를 위해,건강 관리를 위해,2,8,20,20,30,30,0,기타 자기계발-자기관리,해외 프로스포츠 영상 시청,헬스-보디빌딩 직접 하기,영상 컨텐츠 시청,독서
53322248,20240424,M,30대,서울특별시,700만원 이상,자기 계발을 위해,대인 관계-교제를 위해,1,4,5,5,50,40,0,친구-이성친구 만남,신문-잡지보기,라켓스포츠 직접 하기,SNS -인터넷 커뮤니티 활동,없음
53322261,20240424,M,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,자기만족-즐거움을 위해,16,8,20,70,0,10,0,산책-걷기,등산 직접 하기,해외여행,없음,없음
53322272,20240424,M,60대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,3,5,15,60,5,20,0,친구-이성친구 만남,등산 직접 하기,산책-걷기,계모임-동창회-사교모임,기타 취미-오락-휴식
53322452,20240424,F,60대,서울특별시,300이상500만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,5,7,30,30,20,10,10,산책-걷기,음악-라디오 감상,걷기-속보-조깅 직접 하기,독서,수다-잡담하기
53322501,20240424,M,60대,서울특별시,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,0,70,0,0,0,30,국내 여행,없음,없음,없음,없음
53322652,20240424,F,40대,경기도,300만원 미만,자기만족-즐거움을 위해,남는 시간을 보내기 위해,3,8,90,0,0,10,0,걷기-속보-조깅 직접 하기,맛집-카페 탐방,종교활동,없음,없음
53322759,20240424,M,30대,서울특별시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,6,20,20,10,50,0,영화관 관람,SNS -인터넷 커뮤니티 활동,게임,드라이브,산책-걷기
53323024,20240424,F,20대,경상북도,300만원 미만,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,6,10,60,10,10,20,0,e스포츠 영상 시청,게임,가족-친지 만남,만화책 보기,수다-잡담하기
53323089,20240424,F,60대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,건강 관리를 위해,0,2,20,20,20,40,0,미술관-전시관 관람,없음,없음,없음,없음
53323176,20240424,M,60대,경기도,300이상500만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,1,2,50,30,0,20,0,국내 여행,걷기-속보-조깅 직접 하기,드라이브,등산 직접 하기,국내 프로스포츠 영상 시청
53323301,20240424,M,30대,서울특별시,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,2,10,5,5,80,0,산책-걷기,e스포츠 영상 시청,국내 여행,해외여행,없음
53323309,20240424,M,30대,서울특별시,300이상500만원 미만,대인 관계-교제를 위해,건강 관리를 위해,2,8,30,40,0,30,0,등산 직접 하기,산책-걷기,수다-잡담하기,친구-이성친구 만남,맛집-카페 탐방
53323480,20240424,M,20대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,3,5,50,0,0,0,50,줄넘기-맨손체조-스트레칭 직접 하기,게임,걷기-속보-조깅 직접 하기,낮잠자기,어학-기술-자격증 취득
53323483,20240424,M,20대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,2,8,60,10,5,25,0,영상 컨텐츠 시청,국내 프로스포츠 영상 시청,SNS -인터넷 커뮤니티 활동,없음,없음
53323829,20240424,M,60대,서울특별시,700만원 이상,건강 관리를 위해,마음의 안정-휴식을 위해,4,5,20,50,10,20,0,등산 직접 하기,영화관 관람,종교활동,국내 여행,없음
53324238,20240424,M,60대,서울특별시,300이상500만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,3,3,20,20,30,30,0,라켓스포츠 직접 하기,신문-잡지보기,가족-친지 만남,등산 직접 하기,독서
53324526,20240424,F,20대,전라남도,700만원 이상,대인 관계-교제를 위해,자기만족-즐거움을 위해,4,4,50,30,0,20,0,가족-친지 만남,영상 컨텐츠 시청,산책-걷기,등산 직접 하기,요가-필라테스 직접 하기
53324571,20240424,F,40대,서울특별시,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,3,4,80,0,0,20,0,영화관 관람,국내 여행,쇼핑,없음,없음
53324588,20240424,F,40대,서울특별시,500이상700만원 미만,마음의 안정-휴식을 위해,가족-지인 등과 시간을 보내기 위해,1,3,90,0,10,0,0,낮잠자기,쇼핑,줄넘기-맨손체조-스트레칭 직접 하기,산책-걷기,없음
53324638,20240424,M,50대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,4,70,0,0,30,0,볼링_ 당구-포켓볼 직접 하기,국내 여행,없음,없음,없음
53324768,20240424,F,40대,서울특별시,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,1,6,40,20,20,20,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,산책-걷기,독서,수다-잡담하기
53324810,20240424,F,60대,서울특별시,300만원 미만,마음의 안정-휴식을 위해,스트레스 해소를 위해,0,3,50,0,0,50,0,계모임-동창회-사교모임,걷기-속보-조깅 직접 하기,친구-이성친구 만남,등산 직접 하기,독서
53325101,20240424,F,30대,서울특별시,무응답,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,2,50,50,0,0,0,산책-걷기,없음,없음,없음,없음
53325121,20240424,F,60대,서울특별시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,6,6,40,20,20,20,0,산책-걷기,맛집-카페 탐방,음악 공연 관람,해외여행,SNS -인터넷 커뮤니티 활동
53325150,20240424,F,60대,서울특별시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,3,2,10,30,40,20,0,영화관 관람,음악 공연 관람,드라이브,낮잠자기,수다-잡담하기
53325366,20240424,F,30대,서울특별시,700만원 이상,자기 계발을 위해,없음,6,15,0,0,100,0,0,미술 직접 활동 및 수강하기,없음,없음,없음,없음
53325382,20240424,M,60대,서울특별시,500이상700만원 미만,건강 관리를 위해,자기 계발을 위해,8,10,20,50,20,10,0,산책-걷기,해외여행,골프 직접 하기,국내 여행,온천-사우나-찜질방
53325476,20240424,F,50대,경기도,무응답,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,1,5,10,20,40,30,0,걷기-속보-조깅 직접 하기,종교활동,요리-베이킹,미술관-전시관 관람,없음
53325609,20240424,M,30대,서울특별시,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,1,3,50,40,10,0,0,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
53325760,20240424,M,40대,경상북도,300이상500만원 미만,건강 관리를 위해,없음,2,2,0,80,0,20,0,수영 직접 하기,없음,없음,없음,없음
53325871,20240424,F,40대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,2,12,50,30,0,20,0,가족-친지 만남,쇼핑,댄스스포츠 직접 하기,골프 직접 하기,없음
53325955,20240424,F,40대,인천광역시,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,7,50,30,10,10,0,수영 직접 하기,쇼핑,게임,낮잠자기,온천-사우나-찜질방
53326006,20240424,F,50대,부산광역시,500이상700만원 미만,자기만족-즐거움을 위해,건강 관리를 위해,3,2,20,40,20,20,0,독서,헬스-보디빌딩 직접 하기,가족-친지 만남,영화관 관람,국내 여행
53326154,20240424,M,50대,전라북도,500이상700만원 미만,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,2,4,30,40,0,30,0,구기스포츠 직접 하기,낚시,온천-사우나-찜질방,산책-걷기,격투 스포츠 영상 시청
53326223,20240424,F,50대,서울특별시,700만원 이상,마음의 안정-휴식을 위해,대인 관계-교제를 위해,3,8,30,0,30,40,0,영화관 관람,쇼핑,맛집-카페 탐방,산책-걷기,친구-이성친구 만남
53326302,20240424,F,50대,대구광역시,500이상700만원 미만,마음의 안정-휴식을 위해,없음,2,6,60,20,10,10,0,라켓스포츠 직접 하기,없음,없음,없음,없음
53326348,20240424,F,60대,부산광역시,300만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,3,2,70,0,0,30,0,계모임-동창회-사교모임,수다-잡담하기,없음,없음,없음
53326478,20240424,F,40대,충청남도,300이상500만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,2,50,0,50,0,0,어학-기술-자격증 취득,쇼핑,산책-걷기,영상 컨텐츠 시청,낮잠자기
53326586,20240424,F,40대,경기도,500이상700만원 미만,건강 관리를 위해,마음의 안정-휴식을 위해,3,2,30,0,50,20,0,독서,걷기-속보-조깅 직접 하기,음악-라디오 감상,산책-걷기,사회봉사활동
53326668,20240424,M,60대,부산광역시,300만원 미만,스트레스 해소를 위해,대인 관계-교제를 위해,3,6,60,0,0,40,0,계모임-동창회-사교모임,낮잠자기,격투 스포츠 영상 시청,요리-베이킹,음주-유흥
53326822,20240424,M,60대,부산광역시,700만원 이상,대인 관계-교제를 위해,건강 관리를 위해,3,8,35,15,10,40,0,산책-걷기,국내 프로스포츠 영상 시청,쇼핑,친구-이성친구 만남,갬블
53326858,20240424,M,40대,부산광역시,300이상500만원 미만,스트레스 해소를 위해,가족-지인 등과 시간을 보내기 위해,2,4,10,50,30,10,0,친구-이성친구 만남,없음,없음,없음,없음
53327274,20240424,M,50대,경상북도,700만원 이상,남는 시간을 보내기 위해,자기만족-즐거움을 위해,3,6,20,50,0,30,0,걷기-속보-조깅 직접 하기,구기스포츠 직접 하기,영화관 관람,볼링_ 당구-포켓볼 직접 하기,국내 여행
53327380,20240424,F,40대,경기도,300만원 미만,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,2,6,40,10,30,20,0,음악-라디오 감상,영화관 관람,없음,없음,없음
53327441,20240424,M,40대,인천광역시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,2,4,10,30,50,10,0,독서,걷기-속보-조깅 직접 하기,신문-잡지보기,산책-걷기,음악-라디오 감상
53327447,20240424,M,20대,대전광역시,무응답,남는 시간을 보내기 위해,없음,3,3,0,100,0,0,0,영화관 관람,없음,없음,없음,없음
53327449,20240424,F,50대,충청북도,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,대인 관계-교제를 위해,3,8,30,0,0,40,30,사회봉사활동,종교활동,없음,없음,없음
53327495,20240424,F,40대,부산광역시,300만원 미만,가족-지인 등과 시간을 보내기 위해,없음,1,1,70,0,0,10,20,테마파크-시설 방문,박물관 관람,영화관 관람,수다-잡담하기,드라이브
53327513,20240424,F,50대,부산광역시,300이상500만원 미만,자기만족-즐거움을 위해,스트레스 해소를 위해,3,7,20,60,0,20,0,만화책 보기,독서,기타 자기계발-자기관리,없음,없음
53327554,20240424,F,50대,울산광역시,700만원 이상,자기만족-즐거움을 위해,건강 관리를 위해,4,2,0,40,30,30,0,인테리어,반려동물 돌보기,요리-베이킹,쇼핑,수영 직접 하기
53327787,20240424,F,30대,부산광역시,300이상500만원 미만,가족-지인 등과 시간을 보내기 위해,마음의 안정-휴식을 위해,6,6,88,0,12,0,0,쇼핑,음악-라디오 감상,영상 컨텐츠 시청,없음,없음
53327948,20240424,M,50대,전라남도,700만원 이상,자기만족-즐거움을 위해,가족-지인 등과 시간을 보내기 위해,2,5,20,80,0,0,0,라켓스포츠 직접 하기,영상 컨텐츠 시청,낮잠자기,반려동물 돌보기,드라이브
53327952,20240424,M,50대,울산광역시,300이상500만원 미만,스트레스 해소를 위해,건강 관리를 위해,1,1,50,30,10,10,0,헬스-보디빌딩 직접 하기,없음,없음,없음,없음
53327988,20240424,F,40대,경기도,700만원 이상,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,3,5,50,10,30,10,0,걷기-속보-조깅 직접 하기,헬스-보디빌딩 직접 하기,쇼핑,낮잠자기,산책-걷기
53328304,20240424,F,40대,경기도,500이상700만원 미만,마음의 안정-휴식을 위해,자기만족-즐거움을 위해,2,2,25,10,50,15,0,영상 컨텐츠 시청,산책-걷기,없음,없음,없음
53328435,20240424,M,40대,전라남도,300이상500만원 미만,건강 관리를 위해,가족-지인 등과 시간을 보내기 위해,3,6,20,80,0,0,0,라켓스포츠 직접 하기,게임,국내 여행,테마파크-시설 방문,어학-기술-자격증 취득
53328577,20240424,M,30대,경상남도,500이상700만원 미만,남는 시간을 보내기 위해,스트레스 해소를 위해,5,12,30,0,40,30,0,국내 여행,국내 프로스포츠 영상 시청,없음,없음,없음
53328702,20240424,F,50대,인천광역시,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,8,8,30,20,10,40,0,영상 컨텐츠 시청,친구-이성친구 만남,맛집-카페 탐방,종교활동,국내 여행
53328719,20240424,F,60대,전라북도,300만원 미만,건강 관리를 위해,스트레스 해소를 위해,1,1,70,0,0,30,0,소풍-피크닉,없음,없음,없음,없음
53328758,20240424,F,30대,경상북도,300이상500만원 미만,건강 관리를 위해,스트레스 해소를 위해,2,4,50,20,10,20,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,쇼핑,요가-필라테스 직접 하기,독서
53328783,20240424,F,50대,서울특별시,500이상700만원 미만,대인 관계-교제를 위해,없음,5,0,5,50,20,25,0,테마파크-시설 방문,없음,없음,없음,없음
53328903,20240424,F,40대,인천광역시,700만원 이상,마음의 안정-휴식을 위해,건강 관리를 위해,8,10,50,10,20,20,0,영상 컨텐츠 시청,SNS -인터넷 커뮤니티 활동,수영 직접 하기,친구-이성친구 만남,쇼핑
53329002,20240424,F,40대,경기도,500이상700만원 미만,스트레스 해소를 위해,건강 관리를 위해,6,4,70,0,0,0,30,영상 컨텐츠 시청,산책-걷기,쇼핑,SNS -인터넷 커뮤니티 활동,만화책 보기
53329029,20240424,F,40대,경기도,700만원 이상,자기만족-즐거움을 위해,마음의 안정-휴식을 위해,4,6,50,30,0,20,0,산책-걷기,낮잠자기,반려동물 돌보기,쇼핑,없음
53329099,20240424,M,30대,경기도,700만원 이상,가족-지인 등과 시간을 보내기 위해,자기만족-즐거움을 위해,1,1,70,5,5,20,0,영상 컨텐츠 시청,없음,없음,없음,없음
53329184,20240424,F,60대,경기도,500이상700만원 미만,건강 관리를 위해,자기 계발을 위해,2,2,50,50,0,0,0,헬스-보디빌딩 직접 하기,골프 직접 하기,국내 여행,영화관 관람,맛집-카페 탐방
53329209,20240424,M,40대,서울특별시,500이상700만원 미만,건강 관리를 위해,자기 계발을 위해,2,12,0,0,100,0,0,걷기-속보-조깅 직접 하기,국내 프로스포츠 현장 관람,독서,없음,없음
